file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,14
style.css,50,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,16
style.css,51,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,0
style.css,52,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,1,16
style.css,53,css,06815485,Aryslanbek Vakilov,2025-10-31,17:06:33,-07:00,2025-10-31T17:06:33-07:00,0,0
resume.html,1,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,13
resume.html,2,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,3,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,4,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,40
resume.html,5,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,38
resume.html,6,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,5
resume.html,7,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,4
resume.html,8,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,3
resume.html,9,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,27
resume.html,10,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,40
resume.html,11,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,38
resume.html,12,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,59
resume.html,13,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,4
resume.html,14,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,15,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,34
resume.html,16,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,17,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,7
resume.html,18,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,16
resume.html,19,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,59
resume.html,20,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,22
resume.html,21,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,8
resume.html,22,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,23,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,7
resume.html,24,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,22
resume.html,25,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,64
resume.html,26,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,25
resume.html,27,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,88
resume.html,28,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,8
resume.html,29,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,30,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,7
resume.html,31,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,13
resume.html,32,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,90
resume.html,33,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,8
resume.html,34,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,35,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,7
resume.html,36,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,21
resume.html,37,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,51
resume.html,38,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,2,55
resume.html,39,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,1,8
resume.html,40,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,0
resume.html,41,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,5
resume.html,42,html,2e3b21cd,Aryslanbek Vakilov,2025-10-17,11:29:31,-07:00,2025-10-17T11:29:31-07:00,0,5
resume.html,43,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,0
resume.html,44,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,13
resume.html,45,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,14
resume.html,46,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,4
resume.html,47,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,20
resume.html,48,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,68
resume.html,49,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,24
resume.html,50,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,50
resume.html,51,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,5
resume.html,52,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,83
resume.html,53,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,28
resume.html,54,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,103
resume.html,55,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,23
resume.html,56,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,67
resume.html,57,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,6
resume.html,58,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,41
resume.html,59,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,34
resume.html,60,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,5
resume.html,61,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,0
resume.html,62,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,4
resume.html,63,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,18
resume.html,64,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,52
resume.html,65,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,2,68
resume.html,66,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,1,4
resume.html,67,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,5
resume.html,68,html,00000000,Not Committed Yet,2025-11-07,16:24:03,-08:00,2025-11-07T16:24:03-08:00,0,5
index.js,1,js,85cef057,Aryslanbek Vakilov,2025-10-31,16:46:58,-07:00,2025-10-31T16:46:58-07:00,0,71
index.js,2,js,85cef057,Aryslanbek Vakilov,2025-10-31,16:46:58,-07:00,2025-10-31T16:46:58-07:00,0,54
index.js,3,js,85cef057,Aryslanbek Vakilov,2025-10-31,16:46:58,-07:00,2025-10-31T16:46:58-07:00,0,42
index.js,4,js,85cef057,Aryslanbek Vakilov,2025-10-31,16:46:58,-07:00,2025-10-31T16:46:58-07:00,0,60
index.js,5,js,85cef057,Aryslanbek Vakilov,2025-10-31,16:46:58,-07:00,2025-10-31T16:46:58-07:00,0,60
index.html,1,html,702bfc1f,Aryslanbek Vakilov,2025-10-09,23:50:30,-07:00,2025-10-09T23:50:30-07:00,0,13
index.html,2,html,702bfc1f,Aryslanbek Vakilov,2025-10-09,23:50:30,-07:00,2025-10-09T23:50:30-07:00,0,14
